X,species,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,currently,region,status,transfer,entryDate
535,Bottlenose,Shaka's Calf,F,a,2000,Stillbirth,2000-09-01,Dolphin Quest Hawaii,Shaka,Lono,Dolphin Quest Hawai'i,US,Stillbirth,US,2000-09-01
536,Bottlenose,Poliahu's Calf,F,a,2001,Stillbirth,2001-03-15,Dolphin Quest Hawaii,Poliahu,Lono,Dolphin Quest Hawai'i,US,Stillbirth,US,2001-03-15
537,Bottlenose,Iwa's Calf,F,a,2002,Stillbirth,2001-03-27,Dolphin Quest Hawaii,Iwa,Lono,Dolphin Quest Hawai'i,US,Stillbirth,US,2001-03-27
571,Bottlenose,Annessa,M,a,1981,Born,1981-09-25,Dolphin Research Center,Bee,Delphi,Dolphin Research Center,US,Escaped,US,1981-09-25
584,Bottlenose,Omega,F,a,1987,Born,1987-11-20,Dolphin Research Center,Bee,Delphi,Dolphin Research Center,US,Died,US,1987-11-20
590,Bottlenose,Aphro's Calf,M,a,1992,Stillbirth,1992-11-23,Dolphin Research Center,Aphrodite,Rainbow,Dolphin Research Center,US,Stillbirth,US,1992-11-23
591,Bottlenose,Theresa's Calf,F,a,1993,Born,1993-10-06,Dolphin Research Center,Theresa,Rainbow,Dolphin Research Center,US,Died,US,1993-10-06
592,Bottlenose,Picara,F,a,1994,Born,1994-09-02,Dolphin Research Center,Cindy,Dimples II,Dolphin Research Center,US,Died,US,1994-09-02
593,Bottlenose,Theresa's Calf,F,a,1997,Born,1997-06-18,Dolphin Research Center,Theresa,Buck,Dolphin Research Center,US,Died,US,1997-06-18
594,Bottlenose,Destiny,F,a,2001,Born,2001-03-07,Dolphin Research Center,Aleta,Rainbow,Dolphin Research Center,US,Died,US,2001-03-07
595,Bottlenose,Havana,M,a,2001,Born,2001-03-20,Dolphin Research Center,Tursi,Rainbow,Dolphin Research Center,US,Died,US,2001-03-20
596,Bottlenose,Aleta's Calf,F,a,2002,Born,2002-04-04,Dolphin Research Center,Aleta,Kibby,Dolphin Research Center,US,Died,US,2002-04-04
597,Bottlenose,Molly's Calf,F,a,2002,Born,2002-04-05,Dolphin Research Center,Molly,Kibby,Dolphin Research Center,US,Died,US,2002-04-05
598,Bottlenose,Merina's Calf,M,a,2004,Born,2004-09-23,Dolphin Research Center,Merina,Rainbow,Dolphin Research Center,US,Died,US,2004-09-23
599,Bottlenose,Tursi's Calf,F,a,2004,Stillbirth,2004-10-28,Dolphin Research Center,Tursi,Kibby,Dolphin Research Center,US,Stillbirth,US,2004-10-28
600,Bottlenose,Santini's Calf,M,a,2005,Born,2005-10-24,Dolphin Research Center,Santini,Rainbow,Dolphin Research Center,US,Died,US,2005-10-24
601,Bottlenose,Ras,M,a,2006,Born,2006-11-24,Dolphin Research Center,Santini,Kibby,Dolphin Research Center,US,Died,US,2006-11-24
602,Bottlenose,Calusa's Calf,U,a,2010,Born,2010-11-13,Dolphin Research Center,Calusa,"A.I., Merlin",Dolphin Research Center,US,Died,US,2010-11-13
603,Bottlenose,Kai'nalu,M,a,1996,Born,1996-10-03,Dolphin Quest Hawaii,Leilani,Hobi,Dolphinaris Arizona,US,Unknown,US,1996-10-03
604,Bottlenose,Ping,F,a,1998,Born,1998-07-03,SeaWorld San Antonio,Alice,Capricorn,Dolphinaris Arizona,US,Unknown,US,1998-07-03
605,Bottlenose,Sonny,M,a,2009,Born,2000-06-11,Six Flags Discovery Kingdom,Chelsea,Schooner,Dolphinaris Arizona,US,Unknown,US,2000-06-11
606,Bottlenose,Liko,M,a,2000,Born,2000-09-08,Dolphin Quest Hawaii,Kona,Lono,Dolphinaris Arizona,US,Unknown,US,2000-09-08
607,Bottlenose,Alia,F,a,2007,Born,2007-12-04,SeaWorld Orlando,Ariel,Sebastian,Dolphinaris Arizona,US,Unknown,US,2007-12-04
608,Bottlenose,Khloe,F,a,2008,Born,2008-04-18,SeaWorld Orlando,Kendall,Hekili,Dolphinaris Arizona,US,Unknown,US,2008-04-18
609,Bottlenose,Bodie,M,a,2010,Born,2010-06-07,Six Flags Discovery Kingdom,Chelsea,"A.I., Rainbow",Dolphinaris Arizona,US,Unknown,US,2010-06-07
